UNITID,STAT_IC,LOCK_IC,IMP_IC,STAT_C,LOCK_C,PRCH_C,IDX_C,PCC_F,IMP_C,STAT_E12,LOCK_E12,PRCH_E12,IDX_E12,PCE12_F,IMP_E12 
114840,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
114859,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
114938,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
114947,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
115001,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
115010,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
115083,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
115126,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
115214,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
115287,1,8,-2,-2,-2,-2,-2,.,-2,-2,-2,-2,-2,.,-2
115296,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
115357,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
115393,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
115409,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
115658,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
115728,-9,-2,-2,-9,-2,-2,-2,.,-2,-9,-2,-2,-2,.,-2
115746,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
115755,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
115773,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
115861,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
115931,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
116226,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
116350,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
116439,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
116563,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
116846,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
117052,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
117104,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
117140,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
117168,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
117195,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
117238,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
117247,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
117274,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
117283,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
117520,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
117557,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
117575,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
117627,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
117636,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
117645,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
